"rep","mode","n_changepoints","precision","recall","F1","changepoints"
102,"right",7,0.714285714285714,0.5,0.588235294117647,"1070,1526,1685,1866,2047,2550,2744"
102,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2047,2428,2575,2747"
103,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1882,2047,2768"
103,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1882,2047,2416,2573,2768"
104,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2719"
104,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2047,2428,2576,2722"
105,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
105,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2422,2575,2768"
106,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2715"
106,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
107,"right",6,0.666666666666667,0.4,0.5,"1070,1540,1685,1866,2047,2730"
107,"both",8,0.625,0.5,0.555555555555556,"1070,1540,1685,1866,2047,2425,2572,2768"
108,"right",6,0.833333333333333,0.5,0.625,"1070,1525,1685,1866,2030,2768"
108,"both",8,0.625,0.5,0.555555555555556,"1070,1525,1685,1866,2030,2428,2576,2768"
109,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
109,"both",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2428,2582,2768"
110,"right",7,0.714285714285714,0.5,0.588235294117647,"1074,1526,1685,1879,2046,2458,2769"
110,"both",8,0.625,0.5,0.555555555555556,"1074,1526,1685,1879,2047,2428,2572,2769"
111,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2593,2768"
111,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
112,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2572,2768"
112,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
113,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,2029,2708"
113,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
114,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2766"
114,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2575,2766"
115,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2590,2768"
115,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2576,2768"
116,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2724"
116,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2573,2768"
117,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,2022,2705"
117,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2767"
118,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1876,2046,2590,2768"
118,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1876,2047,2428,2573,2768"
119,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2038,2591,2768"
119,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2039,2428,2575,2768"
120,"right",6,0.833333333333333,0.5,0.625,"1070,1528,1685,1866,2047,2723"
120,"both",8,0.75,0.6,0.666666666666667,"1070,1528,1685,1866,2047,2428,2572,2767"
121,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2707"
121,"both",7,0.714285714285714,0.5,0.588235294117647,"1070,1526,1685,1866,2047,2576,2707"
122,"right",7,1,0.7,0.823529411764706,"1070,1530,1685,1866,2045,2595,2765"
122,"both",8,0.875,0.7,0.777777777777778,"1070,1530,1685,1866,2047,2428,2592,2765"
123,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1670,1866,2048,2727"
123,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1670,1866,2047,2428,2583,2768"
124,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2769"
124,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2769"
125,"right",6,0.666666666666667,0.4,0.5,"1070,1526,1685,1866,2013,2694"
125,"both",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2428,2582,2768"
126,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2590,2768"
126,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2577,2768"
127,"right",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2398,2591,2768"
127,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
128,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2041,2591,2768"
128,"both",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2429,2582,2768"
129,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2024,2591,2768"
129,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2024,2428,2577,2768"
130,"right",7,0.714285714285714,0.5,0.588235294117647,"1070,1526,1683,1866,2047,2577,2721"
130,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1683,1866,2047,2428,2577,2721"
131,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2737"
131,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2047,2428,2572,2753"
132,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2044,2557,2764"
132,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2764"
133,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2738"
133,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
134,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1527,1685,1866,1994,2587,2765"
134,"both",8,0.75,0.6,0.666666666666667,"1070,1527,1685,1866,2047,2428,2572,2765"
135,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2720"
135,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2767"
136,"right",6,0.833333333333333,0.5,0.625,"1070,1525,1685,1866,2042,2730"
136,"both",8,0.75,0.6,0.666666666666667,"1070,1525,1685,1866,2047,2424,2577,2768"
137,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2048,2565,2768"
137,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2571,2768"
138,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2594,2787"
138,"both",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2413,2576,2772"
139,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2047,2694"
139,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1866,2047,2428,2575,2708"
140,"right",6,0.833333333333333,0.5,0.625,"1070,1526,1685,1866,2037,2718"
140,"both",7,0.714285714285714,0.5,0.588235294117647,"1070,1526,1685,1866,2036,2572,2767"
141,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1889,2047,2591,2765"
141,"both",8,0.625,0.5,0.555555555555556,"1070,1526,1685,1889,2047,2421,2571,2765"
142,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2590,2768"
142,"both",8,0.875,0.7,0.777777777777778,"1070,1526,1685,1866,2047,2419,2575,2768"
143,"right",7,1,0.7,0.823529411764706,"1070,1526,1685,1866,2047,2591,2768"
143,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2572,2768"
144,"right",7,0.857142857142857,0.6,0.705882352941176,"1070,1526,1685,1866,2047,2572,2766"
144,"both",8,0.75,0.6,0.666666666666667,"1070,1526,1685,1866,2047,2428,2577,2766"
145,"right",7,0.714285714285714,0.5,0.588235294117647,"1070,1526,1685,1866,2020,2589,2836"
145,"both",8,0.5,0.4,0.444444444444444,"1070,1526,1685,1866,2020,2428,2573,2836"
146,"right",7,0.714285714285714,0.5,0.588235294117647,"1070,1525,1685,1934,2045,2588,2782"
146,"both",8,0.5,0.4,0.444444444444444,"1070,1525,1685,1934,2047,2426,2576,2782"
