"method","k","replicates","mean_time","median_time","lower","upper"
"SVP Gaussian / both / c = 1.987",61,12,0.0251388888888881,0.0251666666666589,0.0249999999999773,0.0253333333333406
"SVP Gaussian / both / c = 1.987",62,12,0.0247777777777982,0.0246666666666897,0.0246666666666897,0.0248333333333524
"SVP Gaussian / both / c = 1.987",63,12,0.0243055555555492,0.0243333333332885,0.0243333333332885,0.0243333333333643
"SVP Gaussian / both / c = 1.987",64,12,0.023944444444434,0.023999999999963,0.0238333333333003,0.0240000000000388
"SVP Gaussian / both / c = 1.987",65,12,0.023472222222204,0.0233333333333121,0.0233333333333121,0.0236666666666755
"SVP Gaussian / both / c = 1.987",66,12,0.0231944444444328,0.0231666666666494,0.0229999999999867,0.0233333333333121
"SVP Gaussian / both / c = 1.987",67,12,0.0227500000000052,0.0226666666666612,0.0226666666666612,0.0229999999999867
"SVP Gaussian / both / c = 1.987",68,12,0.0223611111111066,0.0223333333333358,0.0221666666666351,0.0224999999999985
"SVP Gaussian / both / c = 1.987",69,12,0.0222222222222336,0.022166666666673,0.0220000000000103,0.0223333333333358
"SVP Gaussian / both / c = 1.987",70,12,0.0219166666666537,0.0219999999999724,0.021666666666647,0.0220000000000103
"SVP Gaussian / both / c = 1.987",71,12,0.0214444444444489,0.0213333333333594,0.0213333333333215,0.0215000000000221
"SVP Gaussian / both / c = 1.987",72,12,0.0212500000000154,0.0213333333333215,0.021000000000034,0.0213333333333594
"SVP Gaussian / both / c = 1.987",73,12,0.0209444444444102,0.0209999999999582,0.0208333333332954,0.0209999999999582
"SVP Gaussian / both / c = 1.987",74,12,0.0205000000000016,0.0205000000000079,0.0203333333333073,0.0206666666667085
"SVP Gaussian / both / c = 1.987",75,12,0.0201944444444343,0.0203333333333073,0.0199999999999818,0.0203333333333073
"SVP Gaussian / both / c = 1.987",76,12,0.0200277777777842,0.0200000000000197,0.0198333333333191,0.0203333333333073
"SVP Gaussian / both / c = 1.987",77,12,0.0196666666666627,0.0196666666666564,0.0196666666666564,0.0196666666666564
"SVP Gaussian / both / c = 1.987",78,12,0.0196111111111211,0.0196666666666564,0.0193333333333309,0.0196666666667322
"SVP Gaussian / both / c = 1.987",79,12,0.0192222222222224,0.0193333333333309,0.0190000000000055,0.0193333333333309
"SVP Gaussian / both / c = 1.987",80,12,0.0190000000000055,0.0190000000000055,0.0190000000000055,0.0190000000000055
"SVP Gaussian / both / c = 1.987",81,12,0.0189166666666741,0.0190000000000055,0.01866666666668,0.0190000000000055
"SVP Gaussian / both / c = 1.987",82,12,0.0186249999999891,0.01866666666668,0.0185833333333107,0.01866666666668
"SVP Gaussian / both / c = 1.987",83,12,0.0184930555555509,0.0183333333333167,0.0182499999999948,0.0184166666666575
"SVP Gaussian / both / c = 1.987",84,12,0.0180000000000038,0.0180000000000291,0.0177499999999782,0.0181249999999977
"SVP Gaussian / both / c = 1.987",85,12,0.0179444444444512,0.0179999999999723,0.0175000000000409,0.0180000000000291
"SVP Gaussian / both / c = 1.987",86,12,0.0176736111111069,0.017708333333303,0.0175000000000125,0.0177500000000066
"SVP Gaussian / both / c = 1.987",87,12,0.0174513888888962,0.0174999999999841,0.0173333333333403,0.0175000000000409
"SVP Gaussian / both / c = 1.987",88,12,0.0172708333333323,0.01724999999999,0.017124999999993,0.0174999999999841
"SVP Gaussian / both / c = 1.987",89,12,0.017083333333332,0.0169999999999959,0.0169999999999959,0.017124999999993
